date,portfolio_inv
2000-03-01,-60
2000-04-01,-60
2000-05-01,-60
2000-06-01,49
2000-07-01,49
2000-08-01,49
2000-09-01,287
2000-10-01,287
2000-11-01,287
2000-12-01,-6
2001-01-01,-6
2001-02-01,-6
2001-03-01,7
2001-04-01,7
2001-05-01,7
2001-06-01,-27
2001-07-01,-27
2001-08-01,-27
2001-09-01,1330
2001-10-01,1330
2001-11-01,1330
2001-12-01,-66
2002-01-01,-66
2002-02-01,-66
2002-03-01,-97
2002-04-01,-97
2002-05-01,-97
2002-06-01,-168
2002-07-01,-168
2002-08-01,-168
2002-09-01,-288
2002-10-01,-288
2002-11-01,-288
2002-12-01,-119
2003-01-01,-119
2003-02-01,-119
2003-03-01,-72
2003-04-01,-72
2003-05-01,-72
2003-06-01,73
2003-07-01,73
2003-08-01,73
2003-09-01,4
2003-10-01,4
2003-11-01,4
2003-12-01,-23
2004-01-01,-23
2004-02-01,-23
2004-03-01,19
2004-04-01,19
2004-05-01,19
2004-06-01,-225
2004-07-01,-225
2004-08-01,-225
2004-09-01,39
2004-10-01,39
2004-11-01,39
2004-12-01,83
2005-01-01,83
2005-02-01,83
2005-03-01,461
2005-04-01,461
2005-05-01,461
2005-06-01,249
2005-07-01,249
2005-08-01,249
2005-09-01,2579
2005-10-01,2579
2005-11-01,2579
2005-12-01,239
2006-01-01,239
2006-02-01,239
2006-03-01,30
2006-04-01,30
2006-05-01,30
2006-06-01,-84
2006-07-01,-84
2006-08-01,-84
2006-09-01,38
2006-10-01,38
2006-11-01,38
2006-12-01,19
2007-01-01,19
2007-02-01,19
2007-03-01,172
2007-04-01,172
2007-05-01,172
2007-06-01,-1165
2007-07-01,-1165
2007-08-01,-1165
2007-09-01,-1430
2007-10-01,-1430
2007-11-01,-1430
2007-12-01,-304
2008-01-01,-304
2008-02-01,-304
2008-03-01,383
2008-04-01,383
2008-05-01,383
2008-06-01,-23
2008-07-01,-23
2008-08-01,-23
2008-09-01,-3485
2008-10-01,-3485
2008-11-01,-3485
2008-12-01,-3902
2009-01-01,-3902
2009-02-01,-3902
2009-03-01,-1503
2009-04-01,-1503
2009-05-01,-1503
2009-06-01,-321
2009-07-01,-321
2009-08-01,-321
2009-09-01,1186
2009-10-01,1186
2009-11-01,1186
2009-12-01,378
2010-01-01,378
2010-02-01,378
2010-03-01,5548
2010-04-01,5548
2010-05-01,5548
2010-06-01,768
2010-07-01,768
2010-08-01,768
2010-09-01,5900
2010-10-01,5900
2010-11-01,5900
2010-12-01,-1329
2011-01-01,-1329
2011-02-01,-1329
2011-03-01,-5540
2011-04-01,-5540
2011-05-01,-5540
2011-06-01,-1582
2011-07-01,-1582
2011-08-01,-1582
2011-09-01,-1730
2011-10-01,-1730
2011-11-01,-1730
2011-12-01,-1579
2012-01-01,-1579
2012-02-01,-1579
2012-03-01,-1260
2012-04-01,-1260
2012-05-01,-1260
2012-06-01,-456
2012-07-01,-456
2012-08-01,-456
2012-09-01,-327
2012-10-01,-327
2012-11-01,-327
2012-12-01,67
2013-01-01,67
2013-02-01,67
2013-03-01,-531
2013-04-01,-531
2013-05-01,-531
2013-06-01,2268
2013-07-01,2268
2013-08-01,2268
2013-09-01,1268
2013-10-01,1268
2013-11-01,1268
2013-12-01,-42
2014-01-01,-42
2014-02-01,-42
2014-03-01,-30
2014-04-01,-30
2014-05-01,-30
2014-06-01,42
2014-07-01,42
2014-08-01,42
2014-09-01,316
2014-10-01,316
2014-11-01,316
2014-12-01,-2411
2015-01-01,-2411
2015-02-01,-2411
2015-03-01,30
2015-04-01,30
2015-05-01,30
2015-06-01,1427
2015-07-01,1427
2015-08-01,1427
2015-09-01,-1406
2015-10-01,-1406
2015-11-01,-1406
2015-12-01,-180
2016-01-01,-180
2016-02-01,-180
2016-03-01,85
2016-04-01,85
2016-05-01,85
2016-06-01,215
2016-07-01,215
2016-08-01,215
2016-09-01,-841
2016-10-01,-841
2016-11-01,-841
2016-12-01,1054
2017-01-01,1054
2017-02-01,1054
2017-03-01,7588
2017-04-01,7588
2017-05-01,7588
2017-06-01,8184
2017-07-01,8184
2017-08-01,8184
2017-09-01,7479
2017-10-01,7479
2017-11-01,7479
2017-12-01,541
2018-01-01,541
2018-02-01,541
2018-03-01,6906
2018-04-01,6906
2018-05-01,6906
2018-06-01,-2830
2018-07-01,-2830
2018-08-01,-2830
2018-09-01,-3240
2018-10-01,-3240
2018-11-01,-3240
2018-12-01,-2650
2019-01-01,-2650
2019-02-01,-2650
2019-03-01,6942
2019-04-01,6942
2019-05-01,6942
2019-06-01,3178
2019-07-01,3178
2019-08-01,3178
2019-09-01,-1982
2019-10-01,-1982
2019-11-01,-1982
2019-12-01,2255
2020-01-01,2255
2020-02-01,2255
2020-03-01,-8218
2020-04-01,-8218
2020-05-01,-8218
2020-06-01,637
2020-07-01,637
2020-08-01,637
2020-09-01,6686
2020-10-01,6686
2020-11-01,6686
2020-12-01,3482
2021-01-01,3482
2021-02-01,3482
2021-03-01,5818
2021-04-01,5818
2021-05-01,5818
2021-06-01,2756
2021-07-01,2756
2021-08-01,2756
2021-09-01,3561
2021-10-01,3561
2021-11-01,3561
2021-12-01,-6056
2022-01-01,-6056
2022-02-01,-6056
2022-03-01,-14753
2022-04-01,-14753
2022-05-01,-14753
2022-06-01,-3735
2022-07-01,-3735
2022-08-01,-3735
2022-09-01,-2158
2022-10-01,-2158
2022-11-01,-2158
2022-12-01,-855
2023-01-01,-855
2023-02-01,-855
2023-03-01,1200
2023-04-01,1200
2023-05-01,1200
2023-06-01,-486
