Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
IGEGY5D,Egypt 5-year Government Bond Yield,Government Bond Yields,Egypt Pound,Egypt,,,,,,,Percent per Annum,Units,Stock,none,Daily From Apr 2012 To Sep 2022<BR>,,
Date,Ticker,Close
04/30/2012,IGEGY5D,16.7
05/31/2012,IGEGY5D,16.85
06/30/2012,IGEGY5D,16.65
07/31/2012,IGEGY5D,16.65
09/30/2012,IGEGY5D,16.65
10/31/2012,IGEGY5D,15.5
11/30/2012,IGEGY5D,15.6
12/31/2012,IGEGY5D,15.6
01/31/2013,IGEGY5D,12.8
02/28/2013,IGEGY5D,12.8
03/31/2013,IGEGY5D,15.4
05/31/2013,IGEGY5D,15.4
06/30/2013,IGEGY5D,15.4
07/31/2013,IGEGY5D,15.4
08/31/2013,IGEGY5D,15.4
09/30/2013,IGEGY5D,15.4
10/31/2013,IGEGY5D,15.25
11/30/2013,IGEGY5D,13.2
12/31/2013,IGEGY5D,13.2
01/31/2014,IGEGY5D,13.25
02/28/2014,IGEGY5D,13.11
03/31/2014,IGEGY5D,13.15
04/30/2014,IGEGY5D,13.61
05/31/2014,IGEGY5D,13.48
06/30/2014,IGEGY5D,13.47
07/31/2014,IGEGY5D,14.9
08/31/2014,IGEGY5D,14.41
09/30/2014,IGEGY5D,14.66
10/31/2014,IGEGY5D,14.63
11/30/2014,IGEGY5D,14.63
12/31/2014,IGEGY5D,13.599
01/31/2015,IGEGY5D,13.12
02/28/2015,IGEGY5D,12.4
03/31/2015,IGEGY5D,12.4
04/30/2015,IGEGY5D,12.7
05/31/2015,IGEGY5D,12.97
06/30/2015,IGEGY5D,12.97
07/31/2015,IGEGY5D,13.85
08/31/2015,IGEGY5D,14
09/30/2015,IGEGY5D,13.89
10/31/2015,IGEGY5D,13.21
11/30/2015,IGEGY5D,13.3
12/31/2015,IGEGY5D,13.35
01/31/2016,IGEGY5D,13.6
02/29/2016,IGEGY5D,13.8
03/31/2016,IGEGY5D,15.89
04/30/2016,IGEGY5D,16.13
05/31/2016,IGEGY5D,15.65
06/30/2016,IGEGY5D,16.6
07/31/2016,IGEGY5D,17.03
08/31/2016,IGEGY5D,17.4
09/30/2016,IGEGY5D,17.33
10/31/2016,IGEGY5D,17.32
11/30/2016,IGEGY5D,16.83
12/31/2016,IGEGY5D,16.95
01/31/2017,IGEGY5D,17.46
02/28/2017,IGEGY5D,16.84
03/31/2017,IGEGY5D,17.2
04/30/2017,IGEGY5D,17.23
05/31/2017,IGEGY5D,18.56
06/30/2017,IGEGY5D,18.37
07/31/2017,IGEGY5D,18.65
08/31/2017,IGEGY5D,16.76
09/30/2017,IGEGY5D,15.5
10/31/2017,IGEGY5D,15.58
11/30/2017,IGEGY5D,16.2
12/31/2017,IGEGY5D,16.1
01/31/2018,IGEGY5D,14.87
02/28/2018,IGEGY5D,14.914
03/31/2018,IGEGY5D,14.949
04/30/2018,IGEGY5D,15.1
05/31/2018,IGEGY5D,16.25
06/30/2018,IGEGY5D,17.1
07/31/2018,IGEGY5D,17.65
08/31/2018,IGEGY5D,18.437
09/30/2018,IGEGY5D,18.941
10/31/2018,IGEGY5D,18.6
11/30/2018,IGEGY5D,18.534
12/31/2018,IGEGY5D,18.882
01/31/2019,IGEGY5D,17.981
02/28/2019,IGEGY5D,17.439
03/31/2019,IGEGY5D,1.892
04/30/2019,IGEGY5D,16.489
05/31/2019,IGEGY5D,16.119
06/30/2019,IGEGY5D,16.036
07/31/2019,IGEGY5D,15.895
08/31/2019,IGEGY5D,15.137
09/30/2019,IGEGY5D,14.259
10/31/2019,IGEGY5D,14.246
11/30/2019,IGEGY5D,1.557
12/31/2019,IGEGY5D,13.868
01/31/2020,IGEGY5D,13.734
02/29/2020,IGEGY5D,13.73
03/31/2020,IGEGY5D,14.708
04/30/2020,IGEGY5D,13.322
05/31/2020,IGEGY5D,13.545
06/30/2020,IGEGY5D,13.711
07/31/2020,IGEGY5D,14.401
08/31/2020,IGEGY5D,14.523
09/30/2020,IGEGY5D,14.478
10/31/2020,IGEGY5D,14.532
11/30/2020,IGEGY5D,14.177
12/31/2020,IGEGY5D,14.154
01/31/2021,IGEGY5D,14.02
02/28/2021,IGEGY5D,14.435
03/31/2021,IGEGY5D,14.531
04/30/2021,IGEGY5D,14.953
05/31/2021,IGEGY5D,14.616
06/30/2021,IGEGY5D,14.571
07/31/2021,IGEGY5D,15.058
08/31/2021,IGEGY5D,14.87
09/30/2021,IGEGY5D,14.619
10/31/2021,IGEGY5D,14.608
11/30/2021,IGEGY5D,14.575
12/31/2021,IGEGY5D,14.494
01/31/2022,IGEGY5D,14.505
02/28/2022,IGEGY5D,14.496
03/31/2022,IGEGY5D,15.33
04/30/2022,IGEGY5D,15.06
05/31/2022,IGEGY5D,16.61
06/30/2022,IGEGY5D,16.344
07/31/2022,IGEGY5D,17.84
08/31/2022,IGEGY5D,18.565
09/30/2022,IGEGY5D,18.834
